campus,unidad_acadmica,uabc,formacion,consolidacion,consolidado
ENSENADA,ESCUELA DE CIENCIAS DE LA SALUD,1,0,1,0
ENSENADA,FACULTAD DE ARTES,1,0,1,0
ENSENADA,FACULTAD DE CIENCIAS,9,1,2,6
ENSENADA,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y SOCIALES,12,2,5,5
ENSENADA,FACULTAD DE CIENCIAS MARINAS,11,2,3,6
ENSENADA,FACULTAD DE DEPORTES,1,0,1,0
ENSENADA,FACULTAD DE ENOLOGIA Y GASTRONOMIA,1,0,0,1
ENSENADA,FACULTAD DE IDIOMAS,1,0,1,0
ENSENADA,FACULTAD DE INGENIERIA Y NEGOCIOS,4,3,0,1
ENSENADA,FACULTAD DE INGENIERIA ARQUITECTURA Y DISEÑO,15,3,5,7
ENSENADA,INSTITUTO DE INVESTIGACION Y DESARROLLO EDUCATIVO,4,0,0,4
ENSENADA,INSTITUTO DE INVESTIGACIONES OCEANOLOGICAS,9,2,2,5
MEXICALI,FACULTAD DE ARQUITECTURA Y DISEÑO,4,1,2,1
MEXICALI,FACULTAD DE ARTES,3,2,0,1
MEXICALI,FACULTAD DE CIENCIAS ADMINISTRATIVAS,6,1,3,2
MEXICALI,FACULTAD DE CIENCIAS ADMINISTRATIVAS SOCIALES E INGENIERIA,3,2,1,0
MEXICALI,FACULTAD DE CIENCIAS HUMANAS,9,0,3,6
MEXICALI,FACULTAD DE CIENCIAS SOCIALES Y POLITICAS,4,1,3,0
MEXICALI,FACULTAD DE DEPORTES,3,2,1,0
MEXICALI,FACULTAD DE DERECHO,6,2,3,1
MEXICALI,FACULTAD DE ENFERMERIA,2,0,2,0
MEXICALI,FACULTAD DE IDIOMAS,3,0,2,1
MEXICALI,FACULTAD DE INGENIERIA,17,4,9,4
MEXICALI,FACULTAD DE MEDICINA,6,3,2,1
MEXICALI,FACULTAD DE ODONTOLOGIA,3,2,0,1
MEXICALI,FACULTAD DE PEDAGOGIA E INNOVACION EDUCATIVA,4,0,2,2
MEXICALI,INSTITUTO DE CIENCIAS AGRICOLAS,8,2,3,3
MEXICALI,INSTITUTO DE INGENIERIA,9,1,1,7
MEXICALI,INSTITUTO DE INVESTIGACIONES CULTURALES - MUSEO,2,0,1,1
MEXICALI,INSTITUTO DE INVESTIGACIONES EN CIENCIAS VETERINARIAS,4,0,2,2
MEXICALI,INSTITUTO DE INVESTIGACIONES SOCIALES,3,1,1,1
TIJUANA,FACULTAD DE ARTES,3,2,1,0
TIJUANA,FACULTAD DE CIENCIAS DE LA INGENIERIA Y TECNOLOGIA,16,3,11,2
TIJUANA,FACULTAD DE CIENCIAS DE LA INGENIERIA ADMINISTRATIVAS Y SOCIALES,5,3,0,2
TIJUANA,FACULTAD DE CIENCIAS DE LA SALUD,6,3,3,0
TIJUANA,FACULTAD DE CIENCIAS QUIMICAS E INGENIERIA,13,3,3,7
TIJUANA,FACULTAD DE CONTADURIA Y ADMINISTRACION,8,1,4,3
TIJUANA,FACULTAD DE DEPORTES,1,0,1,0
TIJUANA,FACULTAD DE DERECHO,5,2,1,2
TIJUANA,FACULTAD DE ECONOMIA Y RELACIONES INTERNACIONALES,11,1,3,7
TIJUANA,FACULTAD DE HUMANIDADES Y CIENCIAS SOCIALES,4,0,4,0
TIJUANA,FACULTAD DE IDIOMAS,2,0,0,2
TIJUANA,FACULTAD DE MEDICINA Y PSICOLOGIA,7,4,2,1
TIJUANA,FACULTAD DE ODONTOLOGIA,3,1,1,1
TIJUANA,FACULTAD DE TURISMO Y MERCADOTECNIA,4,0,2,2
TIJUANA,INSTITUTO DE INVESTIGACIONES HISTORICAS,2,0,0,2
