periodo,especialidad,maestra,doctorado,fecha
2018-2,10,24,13,1530403200000000000
2019-1,10,24,13,1546300800000000000
2019-2,10,33,21,1561939200000000000
2020-1,10,34,21,1577836800000000000
2020-2,11,36,23,1593561600000000000
2021-1,11,37,24,1609459200000000000
2021-2,11,37,24,1625097600000000000
2022-1,11,37,24,1640995200000000000
2022-2,11,41,24,1656633600000000000
2023-1,19,42,23,1672531200000000000
2023-2,23,47,26,1688169600000000000
2024-1,22,47,26,1704067200000000000
2024-2,25,46,27,1719792000000000000
